chrom	mk	pos.start	pos.end
1	1.01	1	500000
1	1.02	500001	1000000
1	1.03	1000001	1500000
1	1.04	1500001	2000000
1	1.05	2000001	2500000
1	1.06	2500001	3000000
1	1.07	3000001	3500000
1	1.08	3500001	4000000
1	1.09	4000001	4500000
1	1.1	4500001	5000000
1	1.11	5000001	5500000
1	1.12	5500001	6000000
1	1.13	6000001	6500000
1	1.14	6500001	7000000
1	1.15	7000001	7500000
1	1.16	7500001	8000000
1	1.17	8000001	8500000
1	1.18	8500001	9000000
1	1.19	9000001	9500000
1	1.2	9500001	10000000
1	1.21	10000001	10500000
1	1.22	10500001	11000000
1	1.23	11000001	11500000
1	1.24	11500001	12000000
1	1.25	12000001	12500000
1	1.26	12500001	13000000
1	1.27	13000001	13500000
1	1.28	13500001	14000000
1	1.29	14000001	14500000
1	1.3	14500001	15000000
1	1.31	15000001	15500000
1	1.32	15500001	16000000
1	1.33	16000001	16500000
1	1.34	16500001	17000000
1	1.35	17000001	17500000
1	1.36	17500001	18000000
1	1.37	18000001	18500000
1	1.38	18500001	19000000
1	1.39	19000001	20000000
1	1.4	20000001	21000000
1	1.41	21000001	22000000
1	1.42	22000001	23000000
1	1.43	23000001	24000000
1	1.44	24000001	25000000
1	1.45	25000001	26000000
1	1.46	26000001	27000000
1	1.47	27000001	28000000
1	1.48	28000001	29000000
1	1.49	29000001	30000000
1	1.5	30000001	31000000
1	1.51	31000001	31500000
1	1.52	31500001	32000000
1	1.53	32000001	32500000
1	1.54	32500001	33000000
1	1.55	33000001	33500000
1	1.56	33500001	34000000
1	1.57	34000001	34500000
1	1.58	34500001	35000000
1	1.59	35000001	35500000
1	1.6	35500001	36000000
1	1.61	36000001	36500000
1	1.62	36500001	37000000
1	1.63	37000001	37500000
1	1.64	37500001	38000000
1	1.65	38000001	38500000
1	1.66	38500001	39000000
1	1.67	39000001	39500000
1	1.68	39500001	40000000
1	1.69	40000001	40500000
1	1.7	40500001	41000000
1	1.71	41000001	41500000
1	1.72	41500001	42000000
1	1.73	42000001	42500000
1	1.74	42500001	43000000
1	1.75	43000001	43500000
1	1.76	43500001	44000000
1	1.77	44000001	44500000
1	1.78	44500001	44842349
2	2.01	1	500000
2	2.02	500001	1000000
2	2.03	1000001	1500000
2	2.04	1500001	2000000
2	2.05	2000001	2500000
2	2.06	2500001	3000000
2	2.07	3000001	3500000
2	2.08	3500001	4000000
2	2.09	4000001	4500000
2	2.1	4500001	5000000
2	2.11	5000001	5500000
2	2.12	5500001	6000000
2	2.13	6000001	6500000
2	2.14	6500001	7000000
2	2.15	7000001	7500000
2	2.16	7500001	8000000
2	2.17	8000001	8500000
2	2.18	8500001	9000000
2	2.19	9000001	9500000
2	2.2	9500001	10000000
2	2.21	10000001	10500000
2	2.22	10500001	11000000
2	2.23	11000001	11500000
2	2.24	11500001	12000000
2	2.25	12000001	12500000
2	2.26	12500001	13000000
2	2.27	13000001	13500000
2	2.28	13500001	14000000
2	2.29	14000001	14500000
2	2.3	14500001	15000000
2	2.31	15000001	15500000
2	2.32	15500001	16000000
2	2.33	16000001	17000000
2	2.34	17000001	18000000
2	2.35	18000001	19000000
2	2.36	19000001	20000000
2	2.37	20000001	21000000
2	2.38	21000001	22000000
2	2.39	22000001	23000000
2	2.4	23000001	24000000
2	2.41	24000001	25000000
2	2.42	25000001	26000000
2	2.43	26000001	27000000
2	2.44	27000001	28000000
2	2.45	28000001	29000000
2	2.46	29000001	30000000
2	2.47	30000001	31000000
2	2.48	31000001	32000000
2	2.49	32000001	33000000
2	2.5	33000001	34000000
2	2.51	34000001	35000000
2	2.52	35000001	35500000
2	2.53	35500001	36000000
2	2.54	36000001	36500000
2	2.55	36500001	37000000
2	2.56	37000001	37500000
2	2.57	37500001	38000000
2	2.58	38000001	38500000
2	2.59	38500001	39000000
2	2.6	39000001	39500000
2	2.61	39500001	40000000
2	2.62	40000001	40500000
2	2.63	40500001	41000000
2	2.64	41000001	41500000
2	2.65	41500001	42000000
2	2.66	42000001	42500000
2	2.67	42500001	43181631
3	3.001	1	100000
3	3.002	100001	200000
3	3.003	200001	300000
3	3.004	300001	400000
3	3.005	400001	500000
3	3.006	500001	600000
3	3.007	600001	700000
3	3.008	700001	800000
3	3.009	800001	900000
3	3.01	900001	1000000
3	3.011	1000001	1500000
3	3.012	1500001	2000000
3	3.013	2000001	2500000
3	3.014	2500001	3000000
3	3.015	3000001	3500000
3	3.016	3500001	4000000
3	3.017	4000001	4500000
3	3.018	4500001	5000000
3	3.019	5000001	5500000
3	3.02	5500001	6000000
3	3.021	6000001	6500000
3	3.022	6500001	7000000
3	3.023	7000001	7500000
3	3.024	7500001	8000000
3	3.025	8000001	8500000
3	3.026	8500001	9000000
3	3.027	9000001	9100000
3	3.028	9100001	9200000
3	3.029	9200001	9300000
3	3.03	9300001	9400000
3	3.031	9400001	9500000
3	3.032	9500001	9600000
3	3.033	9600001	9700000
3	3.034	9700001	9800000
3	3.035	9800001	9900000
3	3.036	9900001	10000000
3	3.037	10000001	10100000
3	3.038	10100001	10200000
